Category,Transaction type,Count,Percentage
Transfers,CRYPTOTRANSFER,208534,1.698
Tokens,TOKENDISSOCIATE,140,0.001
Tokens,TOKENASSOCIATE,2069,0.017
Tokens,TOKENGRANTKYC,10,0.0
Tokens,TOKENCREATION,16,0.0
Tokens,UTILPRNG,57,0.0
Tokens,TOKENFREEZE,4,0.0
Tokens,TOKENBURN,2164,0.018
Tokens,TOKENMINT,4868,0.04
Smart Contracts,CONTRACTCALL,36219,0.295
Smart Contracts,SCHEDULECREATE,419,0.003
Smart Contracts,SCHEDULESIGN,340,0.003
Smart Contracts,CONTRACTCREATEINSTANCE,20,0.0
Others,NODESTAKEUPDATE,1,0.0
Others,CONTRACTDELETEINSTANCE,2,0.0
Others,TOKENWIPE,3,0.0
Others,ETHEREUMTRANSACTION,6,0.0
Others,CONTRACTUPDATEINSTANCE,2,0.0
Others,FILEDELETE,9,0.0
File Service,FILEUPDATE,29,0.0
File Service,FILECREATE,12,0.0
File Service,FILEAPPEND,35,0.0
Consensus,CONSENSUSUPDATETOPIC,2,0.0
Consensus,CONSENSUSDELETETOPIC,2,0.0
Consensus,CONSENSUSSUBMITMESSAGE,12018197,97.874
Consensus,CONSENSUSCREATETOPIC,7,0.0
Account Actions,CRYPTOUPDATEACCOUNT,759,0.006
Account Actions,CRYPTODELETEALLOWANCE,771,0.006
Account Actions,CRYPTOCREATEACCOUNT,1848,0.015
Account Actions,CRYPTOAPPROVEALLOWANCE,2754,0.022
Account Actions,CRYPTODELETE,1,0.0
Total,,12279300,100.0
