Transaction type,Count,Percentage
CONSENSUSSUBMITMESSAGE,12018197,97.87363286180808
CRYPTOTRANSFER,208534,1.6982564152679716
CONTRACTCALL,36219,0.2949598104126457
TOKENMINT,4868,0.03964395364556612
CRYPTOAPPROVEALLOWANCE,2754,0.022427988566123474
TOKENBURN,2164,0.01762315441433958
TOKENASSOCIATE,2069,0.01684949467803539
CRYPTOCREATEACCOUNT,1848,0.015049717817790917
CRYPTODELETEALLOWANCE,771,0.006278859544110821
CRYPTOUPDATEACCOUNT,759,0.006181134103735555
SCHEDULECREATE,419,0.00341224662643636
SCHEDULESIGN,340,0.0027688874772991943
TOKENDISSOCIATE,140,0.001140130137711433
UTILPRNG,57,0.000464195841782512
FILEAPPEND,35,0.00028503253442785825
FILEUPDATE,29,0.00023616981424022542
CONTRACTCREATEINSTANCE,20,0.00016287573395877615
TOKENCREATION,16,0.00013030058716702092
FILECREATE,12,9.77254403752657e-05
TOKENGRANTKYC,10,8.143786697938807e-05
FILEDELETE,9,7.329408028144927e-05
CONSENSUSCREATETOPIC,7,5.7006506885571646e-05
ETHEREUMTRANSACTION,6,4.886272018763285e-05
TOKENFREEZE,4,3.257514679175523e-05
TOKENWIPE,3,2.4431360093816426e-05
CONTRACTUPDATEINSTANCE,2,1.6287573395877615e-05
CONTRACTDELETEINSTANCE,2,1.6287573395877615e-05
CONSENSUSUPDATETOPIC,2,1.6287573395877615e-05
CONSENSUSDELETETOPIC,2,1.6287573395877615e-05
NODESTAKEUPDATE,1,8.143786697938807e-06
CRYPTODELETE,1,8.143786697938807e-06
